file,param,epoch,creation_utc,bytes
irtamc_fof2_1789114500.txt,fof2,1789114500,2026-09-15T01:29:37.993728+00:00,18094
irtamc_fof2_1789115400.txt,fof2,1789115400,2026-09-15T01:29:58.974931+00:00,18094
irtamc_fof2_1789116300.txt,fof2,1789116300,2026-09-15T01:30:13.999083+00:00,18094
irtamc_fof2_1789117200.txt,fof2,1789117200,2026-09-15T01:30:28.769645+00:00,18094
irtamc_fof2_1789118100.txt,fof2,1789118100,2026-09-15T01:31:05.708229+00:00,18094
irtamc_fof2_1789119000.txt,fof2,1789119000,2026-09-15T01:31:25.403112+00:00,18094
irtamc_fof2_1789119900.txt,fof2,1789119900,2026-09-15T01:31:44.887042+00:00,18094
irtamc_fof2_1789120800.txt,fof2,1789120800,2026-09-15T01:32:06.790230+00:00,18094
irtamc_fof2_1789121700.txt,fof2,1789121700,2026-09-15T01:32:22.040349+00:00,18094
irtamc_fof2_1789122600.txt,fof2,1789122600,2026-09-15T01:32:36.145239+00:00,18094
irtamc_fof2_1789123500.txt,fof2,1789123500,2026-09-15T01:32:55.744437+00:00,18094
irtamc_fof2_1789124400.txt,fof2,1789124400,2026-09-15T01:33:16.987041+00:00,18094
irtamc_fof2_1789125300.txt,fof2,1789125300,2026-09-15T01:33:32.291236+00:00,18094
irtamc_fof2_1789126200.txt,fof2,1789126200,2026-09-15T01:33:52.539916+00:00,18094
irtamc_fof2_1789127100.txt,fof2,1789127100,2026-09-15T01:34:13.773929+00:00,18094
irtamc_fof2_1789128000.txt,fof2,1789128000,2026-09-15T01:34:29.128385+00:00,18094
irtamc_fof2_1789128900.txt,fof2,1789128900,2026-09-15T01:34:44.364523+00:00,18094
irtamc_fof2_1789129800.txt,fof2,1789129800,2026-09-15T01:35:00.177215+00:00,18094
irtamc_fof2_1789130700.txt,fof2,1789130700,2026-09-15T01:35:14.139718+00:00,18094
irtamc_fof2_1789131600.txt,fof2,1789131600,2026-09-15T01:35:33.822793+00:00,18094
irtamc_fof2_1789132500.txt,fof2,1789132500,2026-09-15T01:36:11.185499+00:00,18094
irtamc_fof2_1789133400.txt,fof2,1789133400,2026-09-15T01:36:31.318022+00:00,18094
irtamc_fof2_1789134300.txt,fof2,1789134300,2026-09-15T01:36:52.376148+00:00,18094
irtamc_fof2_1789135200.txt,fof2,1789135200,2026-09-15T01:37:06.423384+00:00,18094
irtamc_fof2_1789136100.txt,fof2,1789136100,2026-09-15T01:37:26.488830+00:00,18094
irtamc_fof2_1789137000.txt,fof2,1789137000,2026-09-15T01:37:46.233645+00:00,18094
irtamc_fof2_1789137900.txt,fof2,1789137900,2026-09-15T01:38:05.972456+00:00,18094
irtamc_fof2_1789138800.txt,fof2,1789138800,2026-09-15T01:38:25.698712+00:00,18094
irtamc_fof2_1789139700.txt,fof2,1789139700,2026-09-15T01:38:46.436798+00:00,18094
irtamc_fof2_1789140600.txt,fof2,1789140600,2026-09-15T01:39:06.835744+00:00,18094
irtamc_fof2_1789141500.txt,fof2,1789141500,2026-09-15T01:39:27.141815+00:00,18094
irtamc_fof2_1789142400.txt,fof2,1789142400,2026-09-15T01:39:46.842659+00:00,18094
irtamc_fof2_1789143300.txt,fof2,1789143300,2026-09-15T01:40:06.778323+00:00,18094
irtamc_fof2_1789144200.txt,fof2,1789144200,2026-09-15T01:40:45.530191+00:00,18094
irtamc_fof2_1789145100.txt,fof2,1789145100,2026-09-15T01:41:18.797012+00:00,18094
irtamc_fof2_1789146000.txt,fof2,1789146000,2026-09-15T01:41:33.095026+00:00,18094
irtamc_fof2_1789146900.txt,fof2,1789146900,2026-09-15T01:41:58.338455+00:00,18094
irtamc_fof2_1789147800.txt,fof2,1789147800,2026-09-15T01:42:12.494992+00:00,18094
irtamc_fof2_1789148700.txt,fof2,1789148700,2026-09-15T01:42:32.247645+00:00,18094
irtamc_fof2_1789149600.txt,fof2,1789149600,2026-09-15T01:42:52.333596+00:00,18094
irtamc_fof2_1789150500.txt,fof2,1789150500,2026-09-15T01:43:12.495185+00:00,18094
irtamc_fof2_1789151400.txt,fof2,1789151400,2026-09-15T01:43:33.086827+00:00,18094
irtamc_fof2_1789152300.txt,fof2,1789152300,2026-09-15T01:43:53.530545+00:00,18094
irtamc_fof2_1789153200.txt,fof2,1789153200,2026-09-15T01:44:14.645422+00:00,18094
irtamc_fof2_1789154100.txt,fof2,1789154100,2026-09-15T01:44:28.998145+00:00,18094
irtamc_fof2_1789155000.txt,fof2,1789155000,2026-09-15T01:44:49.894478+00:00,18094
irtamc_fof2_1789155900.txt,fof2,1789155900,2026-09-15T01:45:05.174816+00:00,18094
irtamc_fof2_1789156800.txt,fof2,1789156800,2026-09-15T01:45:20.093899+00:00,18094
irtamc_fof2_1789157700.txt,fof2,1789157700,2026-09-15T01:45:35.072375+00:00,18094
irtamc_fof2_1789158600.txt,fof2,1789158600,2026-09-15T01:46:07.520014+00:00,18094
irtamc_fof2_1789159500.txt,fof2,1789159500,2026-09-15T01:46:30.051595+00:00,18094
irtamc_fof2_1789160400.txt,fof2,1789160400,2026-09-15T01:46:45.791946+00:00,18094
irtamc_fof2_1789161300.txt,fof2,1789161300,2026-09-15T01:47:01.293730+00:00,18094
irtamc_fof2_1789162200.txt,fof2,1789162200,2026-09-15T01:47:15.895501+00:00,18094
irtamc_fof2_1789163100.txt,fof2,1789163100,2026-09-15T01:47:37.695208+00:00,18094
irtamc_fof2_1789164000.txt,fof2,1789164000,2026-09-15T01:47:52.249491+00:00,18094
irtamc_fof2_1789164900.txt,fof2,1789164900,2026-09-15T01:48:13.265354+00:00,18094
irtamc_fof2_1789165800.txt,fof2,1789165800,2026-09-15T01:48:27.978640+00:00,18088
irtamc_fof2_1789166700.txt,fof2,1789166700,2026-09-15T01:48:48.597160+00:00,18088
